id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
18,西桥社区医药公司宿舍,江汉,89,12485,2室1厅1厨1卫,中楼层 (共8层),71.29,平层,暂无数据,板楼,南 东南,未知结构,简装,一梯八户,无,null,2023-03-19,房改房,2021-01-14,普通住宅,满两年,共有,无抵押,已上传房本照片,20210301NwUDQ
19,黄孝北路48到58号,江汉,55,12305,1室1厅1厨1卫,高楼层 (共9层),44.7,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,无,null,2023-01-07,商品房,2020-03-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,202201108qHJG
20,香江新村,江汉,159,16001,2室2厅1厨1卫,中楼层 (共7层),99.37,错层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,null,2022-03-02,商品房,2004-02-01,普通住宅,满五年,共有,无抵押,已上传房本照片,20220303CcbcR
21,统建同安家园,江岸,225,13374,4室2厅1厨2卫,低楼层 (共34层),168.24,平层,暂无数据,板塔结合,东南,钢混结构,简装,两梯四户,有,null,2021-12-26,商品房,2017-02-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211226ermOQ
22,航天花园,江汉,415,20715,4室2厅1厨2卫,中楼层 (共7层),200.34,错层,177.49,板楼,南,钢混结构,精装,一梯两户,有,null,2021-06-18,商品房,2016-07-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210626aDSJ4
23,长春小区(江汉),江汉,308,17245,5室2厅1厨2卫,高楼层 (共7层),178.61,复式,暂无数据,板楼,南,混合结构,精装,一梯两户,无,null,2023-04-19,商品房,2020-09-17,普通住宅,满两年,非共有,有抵押,已上传房本照片,20230419Itui1
24,广益天下一期,江汉,124,21038,2室1厅1厨1卫,低楼层 (共25层),59.18,平层,45.69,塔楼,东南,钢混结构,精装,三梯十三户,有,null,2023-03-04,商品房,2016-04-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,202005300PCCr
25,菱角湖万达广场C区,江汉,310,21564,5室2厅1厨3卫,低楼层 (共33层),143.76,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,null,2023-03-22,商品房,2017-11-13,普通住宅,满五年,共有,有抵押 200万元 招商,已上传房本照片,20200411l0Dug
26,万科汉口传奇悦庭,江汉,270,21845,3室2厅1厨2卫,高楼层 (共40层),123.6,平层,暂无数据,板楼,南,钢混结构,精装,四梯四户,有,null,2021-07-22,商品房,2019-10-31,普通住宅,满两年,非共有,有抵押 90万元 客户偿还,已上传房本照片,20210807GJjLU
27,青青美庐西区,江岸,280,15285,4室2厅1厨3卫,高楼层 (共7层),183.19,复式,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,有,null,2023-02-06,商品房,2019-05-02,普通住宅,满两年,非共有,无抵押,已上传房本照片,20220218H0S2L
28,电力社区(江汉),江汉,141,15953,2室2厅1厨1卫,中楼层 (共6层),88.39,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,null,2021-09-20,商品房,2013-12-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220519DovHv
29,永清路39号,江岸,128,17739,2室1厅1厨1卫,中楼层 (共7层),72.16,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,null,2023-04-24,商品房,2003-07-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230425Y2ARx
30,海马公园,江汉,203,21326,3室2厅1厨1卫,低楼层 (共41层),95.19,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,null,2023-04-02,商品房,2017-04-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,202304023LhFp
31,辉煌公寓,江汉,310,20012,4室2厅1厨2卫,中楼层 (共8层),154.91,平层,暂无数据,板楼,东南,混合结构,其他,一梯两户,无,null,2023-04-18,商品房,2010-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,202304257NxSF
32,香江花园一二期,江汉,235,15952,3室1厅1厨2卫,高楼层 (共8层),147.32,错层,暂无数据,板楼,南,钢混结构,其他,一梯两户,无,null,2022-09-12,商品房,2001-10-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210905mcen9
33,国贸新都,江汉,190,10259,4室1厅1厨1卫,高楼层 (共29层),185.21,平层,暂无数据,塔楼,东,钢混结构,简装,两梯七户,有,null,2021-11-12,商品房,2016-09-29,普通住宅,满五年,共有,有抵押 145万元 邮储银行 业主自还,已上传房本照片,20211113M1b5Y
34,石桥墩还建楼,江汉,60,11797,2室1厅1厨1卫,中楼层 (共5层),51.37,平层,暂无数据,暂无数据,西南,钢混结构,其他,一梯七户,暂无数据,null,2022-05-06,商品房,2019-06-04,普通住宅,满两年,共有,无抵押,已上传房本照片,20200831W5ZDe
35,CBD楚世家,江汉,435,33721,3室2厅1厨2卫,低楼层 (共32层),129,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2023-04-05,商品房,2021-04-01,普通住宅,满两年,非共有,有抵押 150万元 中国银行 客户偿还,已上传房本照片,202009208LkIT
36,福星华府,江汉,165,18702,2室2厅1厨1卫,中楼层 (共45层),88.23,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯四户,有,null,2023-04-01,商品房,2018-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230402Zk7Df
37,富豪花园,江汉,156,14176,2室1厅1厨1卫,中楼层 (共8层),110.05,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,有,null,2022-04-09,商品房,2017-08-09,普通住宅,满五年,共有,有抵押 业主自还,已上传房本照片,20200420RZGfl
38,长投景城汉口年华,江岸,60,15740,1室1厅1厨1卫,高楼层 (共17层),38.12,复式,暂无数据,塔楼,东南,钢混结构,精装,五梯二十户,有,null,2023-04-19,商品房,2023-04-14,商住两用,未满两年,非共有,无抵押,已上传房本照片,20230419tXHFn
39,学林华府,江汉,149,16485,2室1厅1厨1卫,高楼层 (共17层),90.39,平层,71.66,板楼,南,钢混结构,精装,两梯五户,有,null,2023-04-04,商品房,2011-08-24,普通住宅,满五年,非共有,有抵押,已上传房本照片,20220817qYQUi
40,湖北省出版社宿舍,江汉,210,12650,3室2厅1厨2卫,高楼层 (共7层),166.01,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,暂无数据,null,2020-10-08,商品房,2019-10-01,普通住宅,满两年,共有,无抵押,已上传房本照片,202109308FqLt
41,幸福时代三期,江岸,272,20756,4室2厅1厨2卫,中楼层 (共33层),131.05,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,null,2022-12-04,商品房,2017-10-15,普通住宅,满五年,共有,无抵押,已上传房本照片,20200513kUWss
42,天梨豪园,江汉,168,14022,3室2厅1厨2卫,中楼层 (共11层),119.82,平层,暂无数据,塔楼,南 北,钢混结构,其他,一梯四户,有,null,2022-12-07,商品房,2019-09-17,普通住宅,满两年,非共有,有抵押 100万元,已上传房本照片,20211012hUiIZ
43,福星华府誉境,江汉,221,17084,3室1厅1厨2卫,低楼层 (共44层),129.66,平层,暂无数据,板楼,南,钢混结构,毛坯,三梯四户,有,null,2021-07-30,商品房,2020-10-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210109eFOT4
44,宏宇绿色新都,江岸,188,14337,3室2厅1厨2卫,低楼层 (共10层),131.13,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,null,2023-04-17,商品房,2017-03-13,普通住宅,满五年,共有,有抵押 90万元 中国银行 客户偿还,已上传房本照片,20200909E9n74
45,舞台社区,江汉,54,11415,1室1厅1厨1卫,高楼层 (共9层),47.31,暂无数据,39.44,板楼,南 北,混合结构,简装,一梯六户,暂无数据,null,2023-04-28,商品房,2014-11-19,普通住宅,满五年,非共有,有抵押 20万元 工商银行 业主自还,已上传房本照片,20230429fac9L
46,绿地汉口中心,江岸,182,19272,3室2厅1厨1卫,高楼层 (共33层),94.7,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2023-02-23,商品房,2019-07-15,普通住宅,满两年,共有,无抵押,已上传房本照片,202302263O0LV
47,万科汉口传奇悦庭,江汉,254,24558,3室2厅1厨2卫,高楼层 (共47层),103.43,平层,暂无数据,板塔结合,南 北,钢混结构,精装,四梯八户,有,null,2022-08-31,商品房,2020-08-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,20220831NyUJQ
48,德盛大厦,江岸,188,13920,3室2厅1厨1卫,高楼层 (共25层),135.06,平层,108.5,塔楼,南 北,钢混结构,精装,两梯七户,有,null,2023-04-27,商品房,2017-01-06,普通住宅,满五年,共有,无抵押,已上传房本照片,2020092838hnc
49,福星城北区,江汉,172,14271,3室2厅1厨2卫,高楼层 (共45层),120.53,平层,暂无数据,塔楼,南,钢混结构,精装,三梯六户,有,null,2021-12-15,商品房,2017-03-17,普通住宅,满五年,共有,无抵押,已上传房本照片,20211223ApkWX
50,福星惠誉榜YOUNG,江岸,158,18381,2室2厅1厨1卫,低楼层 (共39层),85.96,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,null,2023-03-11,商品房,2019-03-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,202303120hHC0
51,康顺庭苑,江岸,212,14863,3室2厅1厨1卫,高楼层 (共7层),142.64,平层,123.38,板楼,南,混合结构,简装,一梯两户,无,null,2023-04-01,商品房,2013-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200628uXFd1
52,新华明珠,江汉,235,15644,3室2厅1厨2卫,高楼层 (共30层),150.22,平层,暂无数据,板楼,南 北,钢混结构,简装,三梯七户,有,null,2022-05-07,商品房,2011-07-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220510dWyDC
53,城开天兴花园,江岸,69,7782,2室1厅1厨1卫,高楼层 (共23层),88.67,平层,暂无数据,塔楼,南 东南,钢混结构,毛坯,一梯四户,有,null,2023-04-07,经济适用房,2023-03-31,普通住宅,未满两年,共有,无抵押,已上传房本照片,20230407jCmM5
54,阳光花园,江汉,189,16645,3室2厅1厨2卫,中楼层 (共7层),113.55,错层,暂无数据,塔楼,北 南,混合结构,简装,一梯两户,无,null,2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,20230421L5Jjy
55,葛洲坝国际广场(江汉),江汉,245,22642,2室2厅1厨1卫,中楼层 (共42层),108.21,平层,暂无数据,板楼,南 西南,钢混结构,精装,三梯四户,有,null,2023-04-23,商品房,2020-12-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230311flfU8
56,城开天兴花园,江岸,68,7657,2室2厅1厨1卫,高楼层 (共23层),88.81,平层,暂无数据,塔楼,南,钢混结构,毛坯,一梯四户,有,null,2023-04-14,经济适用房,2020-04-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,202304157a1nV
57,花惠社区,江岸,155,30428,2室1厅1厨1卫,中楼层 (共5层),50.94,平层,暂无数据,平房,西南,混合结构,简装,一梯四户,无,null,2023-02-23,商品房,2016-02-09,普通住宅,满五年,共有,无抵押,已上传房本照片,20210827hIPZj
58,天梨豪园,江汉,208,14379,4室1厅1厨2卫,中楼层 (共11层),144.66,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,null,2023-02-06,商品房,2006-04-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,20191118GT3k1
59,新地盛世东方,江岸,275,20988,3室2厅1厨2卫,中楼层 (共20层),131.03,平层,103.03,板楼,南,钢混结构,精装,两梯三户,有,null,2023-04-16,商品房,2011-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230429fb6vQ
60,福星城北区,江汉,150,14984,3室2厅1厨1卫,高楼层 (共45层),100.11,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯四户,有,null,2022-04-04,商品房,2019-04-09,普通住宅,满两年,共有,无抵押,已上传房本照片,20210710vRVxA
61,怡和苑北区,江岸,218,15823,3室2厅1厨2卫,高楼层 (共6层),137.78,错层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,null,2023-04-07,商品房,2011-09-09,普通住宅,满五年,共有,无抵押,已上传房本照片,20230407QYSVI
62,长港路303号,江汉,119,13683,2室2厅1厨1卫,低楼层 (共8层),86.97,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,null,2023-04-20,私产,2018-06-20,普通住宅,满两年,共有,有抵押 50万元 渤海银行,已上传房本照片,20230420MBQDT
63,百步亭金桥汇II期,江岸,510,27822,5室2厅1厨1卫,高楼层 (共5层),183.31,复式,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,暂无数据,null,2022-04-30,商品房,2019-07-25,普通住宅,满两年,非共有,有抵押 中国 客户偿还,已上传房本照片,20200729bOc5I
64,万松小区,江汉,108,16476,2室1厅1厨1卫,中楼层 (共9层),65.55,平层,暂无数据,板楼,东南,混合结构,简装,一梯三户,暂无数据,null,2021-12-31,商品房,2016-12-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210825fh81v
65,园丁苑,江汉,92,13507,3室1厅1厨1卫,中楼层 (共8层),68.71,平层,56.08,板楼,东,混合结构,其他,一梯两户,无,null,2023-03-27,商品房,2013-11-08,普通住宅,满五年,共有,无抵押,已上传房本照片,20220709cE2sH
66,瑞景天成,江岸,242,20850,3室2厅1厨2卫,低楼层 (共46层),116.07,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,null,2023-04-09,商品房,2018-12-16,普通住宅,满两年,共有,有抵押 42万元 兴业银行 客户偿还,已上传房本照片,20230415EoVOn
67,怡和苑北区,江岸,273,18859,3室2厅1厨2卫,高楼层 (共6层),144.76,错层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,null,2023-02-28,商品房,2007-03-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211215KyfeV
68,华发中城荟,江汉,830,44822,4室2厅1厨3卫,中楼层 (共44层),185.18,平层,142.29,平房,南 北,钢混结构,其他,两梯两户,有,null,2023-04-19,商品房,2021-02-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230419oduOT
69,公务员小区,江汉,285,19540,4室2厅1厨2卫,中楼层 (共7层),145.86,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,null,2022-06-19,商品房,2002-10-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220619a5M4C
70,鼎盛华城,江岸,295,17644,4室2厅1厨2卫,中楼层 (共32层),167.2,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2023-04-13,商品房,2017-01-22,普通住宅,满五年,共有,有抵押 150万元 招行 客户偿还,已上传房本照片,20200615wApC5
71,百步亭金桥汇II期,江岸,278,17060,4室2厅1厨2卫,高楼层 (共46层),162.96,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,三梯四户,有,null,2023-04-05,商品房,2020-01-26,普通住宅,满两年,共有,有抵押 90万元 客户偿还,已上传房本照片,202304059VVNN
72,菱角湖万达广场C区,江汉,269,21358,3室2厅1厨2卫,中楼层 (共33层),125.95,平层,100.98,板塔结合,南,钢混结构,精装,两梯四户,有,null,2022-04-27,商品房,2012-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,202204297wBPs
73,华润桃源里,江岸,175,25668,2室1厅1厨1卫,中楼层 (共43层),68.18,平层,暂无数据,板塔结合,东,钢混结构,其他,两梯五户,有,null,2023-02-03,商品房,2020-12-25,普通住宅,满两年,共有,无抵押,已上传房本照片,20230205FtJn8
74,湖北楚江物资公司宿舍,江汉,135,16905,2室1厅1厨1卫,低楼层 (共6层),79.86,平层,暂无数据,暂无数据,南,混合结构,精装,一梯两户,暂无数据,null,2023-04-24,商品房,2020-04-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230208LjCVR
75,黄浦路外贸宿舍,江岸,138,21044,2室1厅1厨1卫,低楼层 (共7层),65.58,平层,暂无数据,板楼,东南,混合结构,简装,一梯两户,无,null,2023-04-28,商品房,2023-04-23,普通住宅,未满两年,共有,无抵押,已上传房本照片,202304284h2Dt
76,越秀星汇君泊,江岸,179,19514,2室2厅1厨1卫,高楼层 (共32层),91.73,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,null,2022-12-24,商品房,2020-09-24,普通住宅,满两年,非共有,有抵押 60万元 公积金贷款64万，协商还,已上传房本照片,202212264k666
77,同鑫花园,江岸,148,16456,2室2厅1厨1卫,高楼层 (共18层),89.94,平层,暂无数据,塔楼,南,钢混结构,其他,两梯四户,有,null,2023-04-06,商品房,2009-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230406Iw0SG
78,万松小区,江汉,180,13942,3室2厅1厨2卫,高楼层 (共8层),129.11,平层,暂无数据,板楼,东南,钢混结构,其他,一梯五户,无,null,2021-11-22,商品房,2008-11-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211124ScyMw
79,福星城南区,江汉,258,18479,3室2厅1厨1卫,高楼层 (共32层),139.62,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,null,2021-10-20,商品房,2018-10-20,普通住宅,满两年,共有,无抵押,已上传房本照片,20211021ZQObl
80,香缇美景,江汉,118,13232,2室2厅1厨1卫,高楼层 (共18层),89.18,平层,71.61,板楼,南,钢混结构,其他,两梯六户,有,null,2023-04-21,商品房,2013-06-27,普通住宅,满五年,共有,无抵押,已上传房本照片,20230422hK8G5
81,花样年华,江汉,175,19746,2室2厅1厨1卫,高楼层 (共20层),88.63,平层,暂无数据,塔楼,东,钢混结构,精装,四梯二十四户,有,null,2021-10-08,商品房,2016-05-30,普通住宅,满五年,共有,无抵押,已上传房本照片,20211008ZDZCa
82,福星城北区,江汉,205,14106,4室2厅1厨2卫,中楼层 (共46层),145.33,平层,112.27,板楼,南 北,钢混结构,简装,三梯四户,有,null,2022-07-04,商品房,2016-03-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220102HWWy3
83,葛洲坝国际广场(江汉),江汉,260,24028,2室2厅1厨1卫,中楼层 (共42层),108.21,平层,78.65,板楼,南 北,钢混结构,毛坯,三梯四户,有,null,2023-04-11,商品房,2016-03-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,202304153jYxf
84,佰昌公馆A区,江岸,164,14917,3室2厅1厨1卫,高楼层 (共33层),110.28,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2023-02-08,商品房,2018-09-14,普通住宅,满两年,非共有,有抵押 20万元,已上传房本照片,20230208RYeq6
85,星海蓝天,江岸,244,20923,3室3厅1厨3卫,高楼层 (共6层),116.62,复式,105.03,板楼,南 北,钢混结构,其他,一梯两户,无,null,2022-04-01,商品房,2017-07-10,普通住宅,满五年,共有,无抵押,已上传房本照片,20220401P4Laq
86,银泰御华园,江岸,108,24754,1室1厅1厨1卫,低楼层 (共32层),43.63,平层,41,板楼,南,钢混结构,其他,三梯六户,有,null,2023-04-07,商品房,2018-08-07,普通住宅,满两年,非共有,有抵押 50万元 业主自还,已上传房本照片,20230407NAqcT
87,金色雅园金源苑,江汉,166,16109,3室2厅1厨1卫,高楼层 (共7层),103.05,平层,90.83,板塔结合,南 北,钢混结构,简装,一梯两户,无,null,2022-08-09,商品房,2015-09-18,普通住宅,满五年,共有,无抵押,已上传房本照片,20220918sWFgj
88,幸福时代,江岸,150,18266,2室2厅1厨1卫,低楼层 (共32层),82.12,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2023-03-09,商品房,2016-09-06,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,20230309BMlHm
89,融创融公馆二期,江汉,257,20985,3室2厅1厨2卫,高楼层 (共34层),122.47,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,null,2022-01-15,商品房,2021-01-31,普通住宅,满两年,共有,有抵押 130万元 建行 客户偿还,已上传房本照片,202202174JvDl
90,盛景公馆,江岸,165,15932,3室2厅1厨1卫,中楼层 (共40层),103.57,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,null,2023-04-09,商品房,2020-12-09,普通住宅,满两年,共有,有抵押 90万元,已上传房本照片,20220223vUjOV
91,常青二垸,江汉,94,12562,2室1厅1厨1卫,中楼层 (共6层),74.83,平层,64.67,板楼,南 北,混合结构,简装,一梯两户,无,null,2023-04-10,商品房,2010-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230410Mv9l1
92,东航小区,江汉,140,13584,3室2厅1厨2卫,高楼层 (共7层),103.07,平层,89,板楼,南 北,混合结构,精装,一梯一户,暂无数据,null,2021-10-22,商品房,2005-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211022x98OP
93,同鑫花园景福苑,江岸,190,17454,3室3厅1厨2卫,高楼层 (共6层),108.86,复式,96.57,板塔结合,南 北,钢混结构,精装,一梯两户,无,null,2023-04-15,商品房,2015-04-08,普通住宅,满五年,共有,有抵押 80万元 平安银行 业主自还,已上传房本照片,20230425hTJO6
94,万景国际,江汉,190,21956,2室2厅1厨1卫,低楼层 (共32层),86.54,平层,64.67,板塔结合,东南,钢混结构,其他,两梯五户,有,null,2023-03-21,商品房,2014-03-03,普通住宅,满五年,共有,无抵押,已上传房本照片,20230322yg2M8
95,汉口花园幽兰居,江岸,136,14851,2室2厅1厨1卫,中楼层 (共18层),91.58,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,有,null,2022-10-07,商品房,2017-06-12,普通住宅,满五年,共有,有抵押 90万元 建设银行 客户偿还,已上传房本照片,20200507jLGX3
96,姑嫂树社区,江汉,89,11609,2室1厅1厨1卫,中楼层 (共7层),76.67,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,null,2023-04-19,商品房,2004-08-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230417NOYfL
97,中山广场,江汉,47,9258,1室1厅0厨1卫,高楼层 (共28层),50.77,平层,38.05,塔楼,南 北,钢混结构,精装,三梯三十二户,有,null,2023-04-02,商品房,2009-01-12,商住两用,满五年,非共有,无抵押,已上传房本照片,20201117WkQ10
98,菱角湖万达广场B区,江汉,233,18363,3室2厅1厨1卫,高楼层 (共33层),126.89,平层,101.82,板楼,南,钢混结构,毛坯,两梯四户,有,null,2022-08-20,商品房,2013-07-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,2022082068crt
99,美联时光里,江汉,148,23086,2室2厅1厨1卫,高楼层 (共33层),64.11,平层,暂无数据,板塔结合,西南 西,钢混结构,精装,两梯六户,有,null,2023-04-08,商品房,2018-04-08,普通住宅,满五年,共有,有抵押 37万元 公积金,已上传房本照片,20230408QelBc
100,金色雅园金沙苑,江汉,425,17959,5室2厅1厨3卫,高楼层 (共6层),236.66,复式,215.49,板楼,南 北,钢混结构,其他,一梯两户,无,null,2023-03-14,商品房,2010-12-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230315ANCuj
