id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,other
11,红星天铂,新洲,89,7412,3室2厅1厨2卫,中楼层 (共21层),121.17,平层,96.936,板楼,南 北,钢混结构,毛坯,一梯五户,暂无数据,70,2023/3/28,商品房,2021/3/28,普通住宅,满两年,共有,无抵押,已上传房本照片,20230328h150h
12,中大长江紫都三期,武昌,194,20276,3室1厅1厨1卫,高楼层 (共27层),95.68,平层,76.544,板楼,南,钢混结构,精装,两梯四户,有,70,2022/3/29,商品房,2014/12/16,普通住宅,满五年,共有,无抵押,已上传房本照片,20210523cALFk
13,长江鑫都A区,洪山,87,9901,2室2厅1厨1卫,低楼层 (共29层),87.87,平层,70.296,板塔结合,南,钢混结构,毛坯,两梯四户,有,70,2023/2/13,拆迁还建房,2021/12/10,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230214kT4AA
14,解放路246号,武昌,79,17291,1室1厅1厨1卫,中楼层 (共8层),45.69,平层,36.552,板楼,南 北,混合结构,简装,一梯两户,无,70,2023/4/23,商品房,2020/4/24,普通住宅,满两年,非共有,有抵押 37万元 38,已上传房本照片,20230420cotJ4
15,安居苑C区,江岸,126,10231,3室2厅1厨2卫,高楼层 (共7层),123.16,平层,98.528,板楼,南,混合结构,精装,一梯四户,无,70,2021/7/28,商品房,2001/2/10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220712bvOf8
16,中国铁建1818中心,武昌,103,26581,1室1厅1厨1卫,高楼层 (共30层),38.75,平层,31,板楼,东 南,钢混结构,简装,两梯六户,有,70,2022/4/20,商品房,2016/4/21,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211112yuCgp
17,汉南天地,汉南,54,5724,3室2厅1厨1卫,低楼层 (共33层),94.34,平层,75.472,板楼,南 北,钢混结构,毛坯,一梯三户,暂无数据,70,2023/4/2,商品房,2019/12/10,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230402Egfgh
18,万科汉口传奇唐樾,江汉,220,24535,3室2厅1厨1卫,中楼层 (共42层),89.67,平层,71.736,塔楼,南,钢混结构,精装,四梯八户,有,70,2021/11/1,商品房,2021/1/22,普通住宅,满两年,非共有,有抵押 70万元 银行 客户偿还,已上传房本照片,202111041Mm7U
19,岭地金居,武昌,228,30308,3室1厅1厨1卫,中楼层 (共30层),75.23,平层,60.184,板楼,南 北,钢混结构,简装,两梯四户,有,70,2021/5/5,商品房,2019/8/19,普通住宅,满两年,共有,无抵押,已上传房本照片,20210805yP30F
20,优活城,武昌,208,22933,2室2厅1厨1卫,低楼层 (共33层),90.7,平层,72.56,塔楼,南,钢混结构,其他,两梯四户,有,70,2023/4/29,商品房,2014/1/26,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210223vaBcW
21,云鹤园,硚口,159,8502,6室3厅1厨3卫,高楼层 (共6层),187.03,复式,149.624,板楼,南 北,钢混结构,其他,一梯两户,无,70,2021/7/27,商品房,2006/6/10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210716exoV1
22,建新西区长寿里,蔡甸,59,5715,3室2厅1厨1卫,中楼层 (共6层),103.78,错层,83.024,板楼,南,钢混结构,精装,一梯两户,无,70,2023/4/7,商品房,2017/10/7,普通住宅,满五年,共有,无抵押,已上传房本照片,20210118Mmbrk
23,广电兰亭都荟,汉阳,152,16817,3室2厅1厨1卫,低楼层 (共33层),90.39,平层,72.312,板塔结合,南 北,钢混结构,精装,两梯四户,有,70,2023/2/15,商品房,2017/10/30,普通住宅,满五年,共有,无抵押,已上传房本照片,20210914a1ca2
24,江山如画一期,硚口,200,18447,2室2厅1厨1卫,中楼层 (共26层),108.42,平层,86.736,塔楼,东南,钢混结构,其他,两梯六户,有,70,2021/5/14,商品房,2010/10/28,普通住宅,满五年,共有,无抵押,已上传房本照片,20210518LPgbZ
25,明泽丰华苑,洪山,110,11582,2室2厅1厨1卫,高楼层 (共18层),94.98,平层,75.984,塔楼,南,钢混结构,精装,两梯六户,有,70,2022/11/18,拆迁还建房,2022/6/10,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20221120XmeA7
26,现代城二区,江岸,235,24947,3室1厅1厨1卫,高楼层 (共18层),94.2,平层,75.36,板塔结合,南 北,钢混结构,精装,两梯三户,有,70,2022/8/23,商品房,2020/8/21,普通住宅,满两年,非共有,有抵押,已上传房本照片,20201108k9LZG
27,财源大厦,硚口,135,13911,2室2厅1厨1卫,中楼层 (共33层),97.05,平层,77.64,塔楼,南,钢混结构,简装,三梯八户,有,70,2023/3/6,商品房,2017/3/5,普通住宅,满五年,非共有,无抵押,已上传房本照片,202303067Je3j
28,枫桦苇岸,沌口,71,9699,2室2厅1厨1卫,高楼层 (共24层),73.21,平层,58.568,板楼,南 北,钢混结构,精装,两梯四户,有,70,2023/3/7,商品房,2019/5/5,普通住宅,满两年,共有,无抵押,已上传房本照片,20230309dvILp
29,万科城,江汉,162,22529,2室2厅1厨1卫,高楼层 (共35层),71.91,平层,57.528,板楼,南,钢混结构,精装,两梯五户,有,70,2023/4/10,商品房,2016/4/10,普通住宅,满五年,非共有,有抵押 50万元,已上传房本照片,20230410VM911
30,洺悦府,硚口,410,24405,4室2厅1厨3卫,中楼层 (共17层),168,平层,134.4,板楼,东南,钢混结构,毛坯,两梯两户,有,70,2021/4/1,商品房,2021/3/9,普通住宅,满两年,非共有,有抵押 150万元 建设银行 客户偿还,已上传房本照片,20210630AW7GP
31,泓悦府,洪山,223,23633,3室2厅1厨2卫,高楼层 (共28层),94.36,平层,75.488,板楼,南,钢混结构,精装,两梯四户,有,70,2023/2/28,商品房,2020/8/27,普通住宅,满两年,共有,无抵押,已上传房本照片,20230228ASWWa
32,万科翡翠国际,江汉,403,33615,3室2厅1厨2卫,中楼层 (共46层),119.89,平层,95.912,板楼,南 北,钢混结构,精装,四梯四户,有,70,2023/4/2,商品房,2020/10/14,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230404xpQtX
33,佳阳国际,新洲,52,4078,3室2厅1厨2卫,中楼层 (共18层),127.53,平层,102.024,板楼,西南,钢混结构,精装,两梯三户,有,70,2023/2/9,商品房,2017/8/16,普通住宅,满五年,非共有,无抵押,已上传房本照片,20221121V7DRK
34,华锦花园四期,武昌,320,28952,3室2厅1厨1卫,低楼层 (共11层),110.53,平层,88.424,板楼,南 北,钢混结构,精装,一梯四户,有,70,2023/4/11,商品房,2021/4/12,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230411sl53o
35,武汉侨亚海韵假日小区,蔡甸,88,7285,3室1厅1厨2卫,低楼层 (共7层),120.8,平层,96.64,板楼,南,钢混结构,其他,一梯两户,有,70,2023/4/30,商品房,2019/12/2,普通住宅,满两年,非共有,无抵押,已上传房本照片,20200414yobYd
36,特一号小区,硚口,149,16019,2室2厅1厨1卫,中楼层 (共7层),93.02,平层,74.416,塔楼,南,混合结构,精装,一梯两户,有,70,2023/4/20,商品房,2006/4/2,普通住宅,满五年,非共有,无抵押,已上传房本照片,202303051xhCN
37,菱湖上品,江汉,395,15447,6室2厅1厨2卫,高楼层 (共25层),255.72,复式,204.576,板塔结合,东南,钢混结构,简装,五梯二十户,有,70,2021/4/8,商品房,2009/11/19,普通住宅,满五年,共有,无抵押,已上传房本照片,20210411n1K5U
38,招商江湾国际,硚口,198,18822,3室2厅1厨2卫,中楼层 (共33层),105.2,平层,84.16,板塔结合,南 北,钢混结构,精装,两梯五户,有,70,2023/3/28,商品房,2018/9/29,普通住宅,满两年,共有,有抵押 75万元,已上传房本照片,20210802N7DAJ
39,金榜名苑,武昌,219,27981,2室1厅1厨1卫,中楼层 (共27层),78.27,平层,62.616,板楼,南,钢混结构,精装,三梯八户,有,70,2023/3/7,商品房,2009/10/26,普通住宅,满五年,共有,无抵押,已上传房本照片,20230307ZI0n0
40,胭脂山桂苑小区,武昌,280,21091,4室2厅2厨2卫,高楼层 (共11层),132.76,平层,106.208,板楼,东 南,钢混结构,其他,三梯四户,有,70,2023/4/4,商品房,2014/4/30,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220814ZUX1F
41,友谊国际,武昌,350,27200,3室2厅1厨2卫,中楼层 (共19层),128.68,平层,102.944,塔楼,南 北,钢混结构,简装,一梯两户,有,70,2022/3/6,商品房,2019/12/16,普通住宅,满两年,非共有,有抵押 120万元 民生 客户偿还,已上传房本照片,20220306EvlOo
42,菁英城二期,洪山,126,15193,2室2厅1厨1卫,中楼层 (共31层),83.53,平层,66.824,板楼,南 北,钢混结构,毛坯,两梯四户,有,70,2023/4/6,商品房,2021/4/26,普通住宅,满两年,非共有,无抵押,已上传房本照片,20220308wbJXk
43,丽华苑,洪山,117,13611,2室2厅1厨1卫,中楼层 (共18层),85.96,平层,68.768,板楼,东南,钢混结构,精装,两梯六户,有,70,2023/3/21,经济适用房,2014/2/28,普通住宅,满五年,共有,无抵押,已上传房本照片,20221115hI1QQ
44,东亚富苑,江岸,174,13292,3室2厅1厨2卫,中楼层 (共8层),130.91,平层,104.728,板楼,南 北,混合结构,精装,一梯两户,无,70,2023/4/8,房改房,2016/4/7,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230413uIqQs
45,金龙百灵景都,汉阳,141,14945,2室2厅1厨1卫,低楼层 (共18层),94.35,平层,75.48,板楼,南,钢混结构,精装,两梯三户,有,70,2022/8/15,商品房,2015/8/25,普通住宅,满五年,共有,无抵押,已上传房本照片,20220815mZble
46,碧桂园凤凰湾,汉南,88,6793,4室2厅1厨2卫,低楼层 (共27层),129.55,平层,103.64,板楼,南 北,钢混结构,精装,一梯四户,暂无数据,70,2023/4/5,商品房,2021/4/2,普通住宅,满两年,共有,无抵押,已上传房本照片,20230405qUjAJ
47,惠馨苑,武昌,153,20430,2室2厅1厨1卫,高楼层 (共12层),74.89,复式,59.912,板楼,南 北,钢混结构,精装,一梯两户,有,70,2021/7/15,商品房,2015/11/10,普通住宅,满五年,非共有,有抵押 265万元 1 客户偿还,已上传房本照片,20200601LrNuj
48,当代国际城,东湖高新,165,19634,2室2厅1厨1卫,高楼层 (共31层),84.04,平层,67.232,板楼,东南,钢混结构,精装,两梯四户,有,70,2022/10/21,商品房,2020/8/21,普通住宅,满两年,非共有,有抵押 70万元 农村商业银行,已上传房本照片,20221021CJNSA
49,星海虹城,武昌,418,26498,4室2厅1厨2卫,低楼层 (共18层),157.75,平层,126.2,板楼,北 南,钢混结构,精装,两梯三户,有,70,2023/4/13,商品房,2010/6/28,普通住宅,满五年,共有,有抵押 30万元 光大银行 业主自还,已上传房本照片,20220404KbmAo
50,蓝色天际,江汉,195,19491,3室2厅1厨2卫,中楼层 (共8层),100.05,复式,80.04,板楼,南,钢混结构,精装,一梯两户,无,70,2023/4/12,商品房,2017/10/30,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230412fDxnq
51,绿色家园,江汉,145,13591,3室1厅1厨2卫,中楼层 (共6层),106.69,平层,85.352,板楼,南,钢混结构,简装,一梯两户,无,70,2023/3/1,商品房,2007/3/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220302tIMlE
52,东亭花园,武昌,220,14554,3室2厅1厨2卫,高楼层 (共8层),151.17,平层,120.936,板塔结合,南 北,混合结构,其他,一梯两户,无,70,2022/5/31,商品房,2001/3/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220609Gdjb7
53,海山友谊城,江汉,185,19285,2室1厅1厨1卫,高楼层 (共30层),95.93,平层,76.744,板楼,东南,钢混结构,其他,三梯八户,有,70,2023/2/27,商品房,2017/2/28,普通住宅,满五年,共有,有抵押 150 业主自还,已上传房本照片,20230228lqxtj
54,祥鑫天骄城,蔡甸,94,6328,3室2厅1厨2卫,低楼层 (共11层),149.35,平层,119.48,板楼,南 北,钢混结构,毛坯,十四梯三户,有,70,2023/4/10,商品房,2012/11/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230411mvADN
55,谷尚居,东湖高新,218,16926,3室1厅1厨2卫,高楼层 (共16层),128.8,平层,103.04,塔楼,南 北,钢混结构,精装,两梯四户,有,70,2023/3/31,商品房,2020/12/17,普通住宅,满两年,共有,有抵押 150万元,已上传房本照片,20230331IgPS5
56,爱佳798,沌口,109,12659,2室2厅1厨1卫,高楼层 (共31层),86.11,平层,68.888,塔楼,东南 南,钢混结构,精装,两梯四户,有,70,2023/1/30,商品房,2019/8/31,普通住宅,满两年,共有,有抵押 34万元 中国银行商业贷款 客户偿还,已上传房本照片,20200629EUICT
57,楚天都市雅园,武昌,360,31014,3室1厅1厨2卫,中楼层 (共45层),116.08,平层,92.864,板塔结合,南 北,钢混结构,简装,三梯四户,有,70,2023/3/27,商品房,2020/1/27,普通住宅,满两年,非共有,有抵押,已上传房本照片,20230327LCNhQ
58,福星城南区,江汉,248,19503,3室2厅1厨2卫,低楼层 (共32层),127.16,平层,101.728,板楼,南 北,钢混结构,其他,两梯四户,有,70,2022/10/30,商品房,2015/3/6,普通住宅,满五年,非共有,无抵押,已上传房本照片,2020041862eRT
59,梅花苑,武昌,102,9803,3室1厅1厨1卫,高楼层 (共7层),104.05,平层,83.24,板楼,南 北,混合结构,简装,一梯两户,无,70,2023/4/18,房改房,2020/4/17,普通住宅,满两年,非共有,无抵押,已上传房本照片,20201030PVkZ6
60,汉口新城二期,江岸,78,12484,2室1厅1厨1卫,低楼层 (共11层),62.48,平层,49.984,板楼,南 北,钢混结构,简装,一梯四户,有,70,2021/4/29,商品房,2019/5/13,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210503uHnni
61,龙江庭苑B区,汉阳,99,12494,2室1厅1厨1卫,低楼层 (共18层),79.24,平层,63.392,板楼,南,钢混结构,简装,两梯五户,有,70,2023/4/27,拆迁还建房,2021/4/29,普通住宅,满两年,非共有,有抵押 81万元 建设银行 客户偿还,已上传房本照片,202304274kgeT
62,鑫城宜居,东西湖,75,10894,2室2厅1厨1卫,中楼层 (共33层),68.85,平层,55.08,塔楼,南,钢混结构,精装,两梯五户,有,70,2022/8/18,商品房,2019/8/15,普通住宅,满两年,非共有,无抵押,已上传房本照片,20220818dDXkc
63,华苑社区,江汉,85,12355,2室1厅1厨1卫,中楼层 (共8层),68.8,平层,55.04,板塔结合,南 北,混合结构,精装,一梯四户,无,70,2023/4/1,商品房,2009/10/23,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230401yJGQm
64,百步亭花园世博园,江岸,170,19532,2室2厅1厨1卫,中楼层 (共8层),87.04,平层,69.632,板楼,南 北,钢混结构,精装,一梯三户,有,70,2023/4/7,商品房,2019/1/22,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230407WfxgC
65,金地中心城,东湖高新,316,20223,4室2厅1厨2卫,中楼层 (共32层),156.26,平层,125.008,板塔结合,南 北,钢混结构,精装,两梯四户,有,70,2023/4/17,商品房,2016/6/11,普通住宅,满五年,共有,有抵押,已上传房本照片,20201231t23io
66,天源城,武昌,325,23500,3室2厅1厨2卫,中楼层 (共12层),138.3,平层,110.64,板楼,南 北,钢混结构,其他,一梯两户,有,70,2023/4/12,商品房,2009/2/16,普通住宅,满五年,非共有,有抵押 20万元 民生银行 业主自还,已上传房本照片,202304146smhQ
67,常青二垸,江汉,89,9907,3室2厅1厨1卫,高楼层 (共8层),89.84,平层,71.872,板楼,南,混合结构,简装,一梯两户,无,70,2023/3/17,商品房,2008/5/9,普通住宅,满五年,非共有,无抵押,已上传房本照片,202303239it7J
68,天泽一方,硚口,142,11460,3室2厅1厨2卫,低楼层 (共17层),123.91,平层,99.128,塔楼,东 东南 南,钢混结构,其他,两梯四户,有,70,2022/10/18,商品房,2009/4/4,普通住宅,满五年,非共有,无抵押,已上传房本照片,20221019na83L
69,福星惠誉东湖城二期,洪山,225,19816,3室2厅1厨2卫,低楼层 (共31层),113.55,平层,90.84,板塔结合,南,钢混结构,毛坯,两梯四户,有,70,2023/4/27,商品房,2019/4/20,普通住宅,满两年,共有,有抵押 84万元 客户偿还,已上传房本照片,20200915nMJOt
70,积益小区,江汉,65,14097,1室1厅1厨1卫,高楼层 (共8层),46.11,平层,36.888,塔楼,西,钢混结构,其他,一梯二十一户,有,70,2023/4/28,私产,2006/9/25,商住两用,满五年,共有,无抵押,已上传房本照片,20200103hnqE4
71,东亭花园,武昌,173,17038,3室1厅1厨1卫,中楼层 (共7层),101.54,平层,81.232,板塔结合,南,钢混结构,简装,一梯两户,无,70,2021/10/18,私产,2013/11/14,普通住宅,满五年,共有,无抵押,已上传房本照片,20210324wQTSZ
72,天顺园六村,硚口,195,8618,4室3厅1厨3卫,高楼层 (共7层),226.28,复式,181.024,板楼,东南 南,钢混结构,其他,一梯两户,无,70,2021/3/21,商品房,2016/10/17,普通住宅,满五年,非共有,有抵押 115万元 光大银行 客户偿还,已上传房本照片,20210319xMXjG
73,丽水新城,蔡甸,79,7635,3室2厅1厨2卫,低楼层 (共7层),103.74,平层,82.992,板楼,南 北,混合结构,精装,一梯两户,暂无数据,70,2021/7/14,商品房,2021/4/10,普通住宅,满两年,非共有,有抵押,已上传房本照片,202107292ga5A
74,福星华府誉境,江汉,185,20166,3室2厅1厨1卫,低楼层 (共44层),91.74,平层,73.392,板楼,南 西南,钢混结构,精装,三梯四户,有,70,2023/4/20,商品房,2021/3/9,普通住宅,满两年,非共有,有抵押 30万元 邮政银行 客户偿还,已上传房本照片,20230424EdvVX
75,中环新天地,硚口,45,10118,1室1厅1厨1卫,高楼层 (共28层),45.27,平层,36.216,塔楼,北,钢混结构,简装,四梯二十四户,有,70,2021/9/28,商品房,2020/9/28,普通住宅,满两年,非共有,无抵押,已上传房本照片,20200802VXXKa
76,祥和雅居,东湖高新,52,10822,1室1厅1厨1卫,低楼层 (共32层),48.79,平层,39.032,板塔结合,东,砖混结构,简装,四梯三十三户,有,70,2023/4/4,拆迁还建房,2023/3/31,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230404desyw
77,晋合金桥世家,江岸,560,24881,5室2厅1厨2卫,高楼层 (共32层),225.08,平层,180.064,板楼,南 北,钢混结构,精装,一梯两户,有,70,2021/11/25,商品房,2019/4/26,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210522pApAw
78,城南新居,洪山,160,14674,3室2厅1厨2卫,中楼层 (共6层),109.04,平层,87.232,板楼,南,钢混结构,简装,一梯两户,暂无数据,70,2023/3/28,商品房,2006/4/7,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230408tJ7uv
79,保利公园九里,洪山,190,17021,3室2厅1厨2卫,低楼层 (共34层),111.63,平层,89.304,板楼,南,钢混结构,毛坯,两梯四户,有,70,2022/1/1,商品房,2016/1/1,普通住宅,满五年,共有,无抵押,已上传房本照片,20220101htoAW
80,中建御景星城,硚口,228,20651,3室2厅1厨1卫,低楼层 (共47层),110.41,平层,88.328,板楼,南 北,钢混结构,毛坯,三梯三户,有,70,2023/2/22,商品房,2018/2/22,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220611ZS7JT
81,爱家皇家公馆,洪山,100,16941,1室1厅1厨1卫,高楼层 (共24层),59.03,平层,47.224,板塔结合,南,钢混结构,精装,四梯十四户,有,70,2021/9/2,商品房,2017/11/6,普通住宅,满五年,共有,无抵押,已上传房本照片,20200729TLr0x
82,湘龙鑫城,洪山,115,9222,3室2厅1厨2卫,高楼层 (共24层),124.71,平层,99.768,板楼,南,钢混结构,毛坯,两梯四户,有,70,2020/1/3,商品房,2020/1/3,普通住宅,满两年,非共有,无抵押,已上传房本照片,20200103EXL0J
83,都市花园上园,江汉,265,21647,3室2厅1厨2卫,低楼层 (共32层),122.42,平层,97.936,塔楼,南,钢混结构,毛坯,两梯四户,有,70,2023/4/21,商品房,2018/7/24,普通住宅,满两年,共有,无抵押,已上传房本照片,201809162334N
84,碧桂园学府壹号,蔡甸,88,8443,3室2厅1厨1卫,低楼层 (共33层),104.83,平层,83.864,板塔结合,南 北,钢混结构,精装,两梯三户,有,70,2021/11/8,商品房,2019/12/25,普通住宅,满两年,共有,有抵押 30万元 业主自还,已上传房本照片,20211109FngnU
85,大华南湖公园世家二期,洪山,225,23443,3室1厅1厨1卫,中楼层 (共18层),96.32,平层,77.056,板楼,南 北,钢混结构,精装,两梯三户,有,70,2022/12/17,商品房,2019/4/17,普通住宅,满两年,非共有,有抵押 113万元 平安银行 客户偿还,已上传房本照片,20221217s0lBs
86,水岸国际峯岚天下,武昌,313,23972,3室2厅1厨2卫,高楼层 (共31层),130.57,平层,104.456,板楼,南,钢混结构,精装,两梯四户,有,70,2023/3/15,商品房,2015/9/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230315xFF4R
87,融创融公馆,江岸,235,19658,4室1厅1厨2卫,低楼层 (共34层),119.55,平层,95.64,板楼,东南,钢混结构,简装,两梯四户,有,70,2023/4/27,商品房,2019/11/8,普通住宅,满两年,共有,有抵押 100万元 民生银行 业主自还,已上传房本照片,20230427uykCq
88,金地华公馆,东湖高新,93,20946,1室0厅1厨1卫,中楼层 (共18层),44.4,平层,35.52,板塔结合,西,钢混结构,精装,六梯三十三户,有,70,2021/8/5,商品房,2021/8/5,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20210820NZnt9
89,先贤苑,武昌,225,20333,3室2厅1厨2卫,中楼层 (共6层),110.66,平层,88.528,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,70,2023/4/9,商品房,2017/9/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230424PlFP7
90,梦湖华苑,江岸,82,13854,2室1厅1厨1卫,低楼层 (共26层),59.19,平层,47.352,塔楼,东 南,钢混结构,精装,三梯八户,有,70,2023/4/2,经济适用房,2021/3/12,普通住宅,满两年,共有,无抵押,已上传房本照片,20230408vXx9E
91,东城明珠,新洲,60,4688,3室2厅1厨2卫,低楼层 (共10层),128.01,平层,102.408,板楼,东南,钢混结构,毛坯,两梯三户,有,70,2023/4/18,商品房,2018/6/28,普通住宅,满两年,共有,无抵押,已上传房本照片,20211215ktt8T
92,联投金色港湾,沌口,150,13646,3室2厅1厨2卫,高楼层 (共28层),109.93,平层,87.944,板塔结合,南,钢混结构,毛坯,两梯六户,有,70,2023/2/10,商品房,2021/2/27,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210823PYjD1
93,中山花园,硚口,230,16958,3室2厅1厨2卫,中楼层 (共8层),135.63,平层,108.504,板楼,南 北,钢混结构,其他,一梯两户,有,70,2023/3/7,商品房,2019/3/13,普通住宅,满两年,非共有,无抵押,已上传房本照片,20200514NpMfk
94,华南国际广场,江汉,81,17075,2室1厅1厨1卫,高楼层 (共30层),47.44,平层,37.952,板塔结合,北,钢混结构,其他,两梯二十户,有,70,2023/4/12,商品房,2021/4/1,商住两用,满两年,共有,无抵押,已上传房本照片,202107255EGYv
95,美联奥林匹克花园五期,东西湖,148,15123,3室2厅1厨1卫,高楼层 (共33层),97.87,平层,78.296,板楼,南,钢混结构,精装,两梯四户,有,70,2023/4/16,商品房,2020/6/2,普通住宅,满两年,非共有,有抵押 52万元 交通,已上传房本照片,20230417n8ZpK
96,联合社区,江岸,82,12043,2室1厅1厨1卫,中楼层 (共7层),68.09,平层,54.472,板楼,南,混合结构,简装,一梯五户,无,70,2023/3/15,商品房,2010/8/23,普通住宅,满五年,共有,无抵押,已上传房本照片,202107272HQUK
97,星海蓝天,江岸,171,19933,4室2厅1厨2卫,高楼层 (共6层),85.79,复式,68.632,板楼,东南,钢混结构,简装,一梯两户,无,70,2023/4/11,商品房,2005/6/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200105aJ8DI
98,金涛鸿公馆,江汉,155,15323,6室0厅0厨6卫,低楼层 (共31层),101.16,平层,80.928,塔楼,东南,钢混结构,其他,四梯八户,有,70,2023/2/24,商品房,2020/9/10,普通住宅,满两年,非共有,无抵押,已上传房本照片,20211028q9Kur
99,中海长江十里,江岸,575,48920,3室2厅1厨2卫,高楼层 (共29层),117.54,平层,94.032,板楼,南 北,钢混结构,精装,两梯五户,有,70,2022/11/16,商品房,2022/11/11,普通住宅,未满两年,非共有,有抵押 50万元 银行 业主自还,已上传房本照片,20221117ullkE
100,海伦小镇,沌口,73,7564,3室2厅1厨2卫,中楼层 (共28层),96.52,暂无数据,77.216,板楼,东南,钢混结构,精装,两梯六户,有,70,2023/4/23,商品房,2020/8/10,普通住宅,满两年,非共有,有抵押 35万元 建设银行 业主自还,已上传房本照片,20230423PLeSg
101,首义小区,武昌,140,12911,2室2厅1厨1卫,高楼层 (共8层),108.44,平层,86.752,板楼,南 北,混合结构,简装,一梯五户,有,70,2022/9/26,商品房,2017/9/19,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211208TWa3Z
