id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
11,红星天铂,新洲,89.8,7412元/平米,3室2厅1厨2卫,中楼层 (共21层),121.17㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯五户,暂无数据,null,2023-03-28,商品房,2021-03-28,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230328h150h
12,中大长江紫都三期,武昌,194,20276元/平米,3室1厅1厨1卫,高楼层 (共27层),95.68㎡,平层,76.74㎡,板楼,南,钢混结构,精装,两梯四户,有,null,2022-03-29,商品房,2014-12-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210523cALFk
13,长江鑫都A区,洪山,87,9901元/平米,2室2厅1厨1卫,低楼层 (共29层),87.87㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,null,2023-02-13,拆迁还建房,2021-12-10,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230214kT4AA 
14,解放路246号,武昌,79,17291元/平米,1室1厅1厨1卫,中楼层 (共8层),45.69㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,无,null,2023-04-23,商品房,2020-04-24,普通住宅,满两年,非共有,"
                                有抵押 37万元 38
                              ",已上传房本照片,20230420cotJ4
15,安居苑C区,江岸,126,10231元/平米,3室2厅1厨2卫,高楼层 (共7层),123.16㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯四户,无,null,2021-07-28,商品房,2001-02-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220712bvOf8
16,中国铁建1818中心,武昌,103,26581元/平米,1室1厅1厨1卫,高楼层 (共30层),38.75㎡,平层,暂无数据,板楼,东 南,钢混结构,简装,两梯六户,有,null,2022-04-20,商品房,2016-04-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20211112yuCgp
17,汉南天地,汉南,54,5724元/平米,3室2厅1厨1卫,低楼层 (共33层),94.34㎡,平层,69.4㎡,板楼,南 北,钢混结构,毛坯,一梯三户,暂无数据,null,2023-04-02,商品房,2019-12-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230402Egfgh
18,万科汉口传奇唐樾,江汉,220,24535元/平米,3室2厅1厨1卫,中楼层 (共42层),89.67㎡,平层,73.99㎡,塔楼,南,钢混结构,精装,四梯八户,有,null,2021-11-01,商品房,2021-01-22,普通住宅,满两年,非共有,"
                                有抵押 70万元 银行 客户偿还
                              ",已上传房本照片,202111041Mm7U
19,岭地金居,武昌,228,30308元/平米,3室1厅1厨1卫,中楼层 (共30层),75.23㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,null,2021-05-05,商品房,2019-08-19,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20210805yP30F
20,优活城,武昌,208,22933元/平米,2室2厅1厨1卫,低楼层 (共33层),90.7㎡,平层,69.5㎡,塔楼,南,钢混结构,其他,两梯四户,有,null,2023-04-29,商品房,2014-01-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210223vaBcW
21,云鹤园,硚口,159,8502元/平米,6室3厅1厨3卫,高楼层 (共6层),187.03㎡,复式,187㎡,板楼,南 北,钢混结构,其他,一梯两户,无,null,2021-07-27,商品房,2006-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210716exoV1
22,建新西区长寿里,蔡甸,59.3,5715元/平米,3室2厅1厨1卫,中楼层 (共6层),103.78㎡,错层,90㎡,板楼,南,钢混结构,精装,一梯两户,无,null,2023-04-07,商品房,2017-10-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210118Mmbrk
23,广电兰亭都荟,汉阳,152,16817元/平米,3室2厅1厨1卫,低楼层 (共33层),90.39㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,null,2023-02-15,商品房,2017-10-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210914a1ca2
24,江山如画一期,硚口,200,18447元/平米,2室2厅1厨1卫,中楼层 (共26层),108.42㎡,平层,89.02㎡,塔楼,东南,钢混结构,其他,两梯六户,有,null,2021-05-14,商品房,2010-10-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210518LPgbZ
25,明泽丰华苑,洪山,110,11582元/平米,2室2厅1厨1卫,高楼层 (共18层),94.98㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,null,2022-11-18,拆迁还建房,2022-06-10,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20221120XmeA7
26,现代城二区,江岸,235,24947元/平米,3室1厅1厨1卫,高楼层 (共18层),94.2㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,null,2022-08-23,商品房,2020-08-21,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,20201108k9LZG
27,财源大厦,硚口,135,13911元/平米,2室2厅1厨1卫,中楼层 (共33层),97.05㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯八户,有,null,2023-03-06,商品房,2017-03-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202303067Je3j
28,枫桦苇岸,沌口开发区,71,9699元/平米,2室2厅1厨1卫,高楼层 (共24层),73.21㎡,平层,57.17㎡,板楼,南 北,钢混结构,精装,两梯四户,有,null,2023-03-07,商品房,2019-05-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230309dvILp
29,万科城,江汉,162,22529元/平米,2室2厅1厨1卫,高楼层 (共35层),71.91㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,null,2023-04-10,商品房,2016-04-10,普通住宅,满五年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,20230410VM911
30,洺悦府,硚口,410,24405元/平米,4室2厅1厨3卫,中楼层 (共17层),168㎡,平层,暂无数据,板楼,东南,钢混结构,毛坯,两梯两户,有,null,2021-04-01,商品房,2021-03-09,普通住宅,满两年,非共有,"
                                有抵押 150万元 建设银行 客户偿还
                              ",已上传房本照片,20210630AW7GP
31,泓悦府,洪山,223,23633元/平米,3室2厅1厨2卫,高楼层 (共28层),94.36㎡,平层,73.17㎡,板楼,南,钢混结构,精装,两梯四户,有,null,2023-02-28,商品房,2020-08-27,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230228ASWWa
32,万科翡翠国际,江汉,403,33615元/平米,3室2厅1厨2卫,中楼层 (共46层),119.89㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,四梯四户,有,null,2023-04-02,商品房,2020-10-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230404xpQtX
33,佳阳国际,新洲,52,4078元/平米,3室2厅1厨2卫,中楼层 (共18层),127.53㎡,平层,暂无数据,板楼,西南,钢混结构,精装,两梯三户,有,null,2023-02-09,商品房,2017-08-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20221121V7DRK
34,华锦花园四期,武昌,320,28952元/平米,3室2厅1厨1卫,低楼层 (共11层),110.53㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,有,null,2023-04-11,商品房,2021-04-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230411sl53o
35,武汉侨亚海韵假日小区,蔡甸,88,7285元/平米,3室1厅1厨2卫,低楼层 (共7层),120.8㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,有,null,2023-04-30,商品房,2019-12-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20200414yobYd
36,特一号小区,硚口,149,16019元/平米,2室2厅1厨1卫,中楼层 (共7层),93.02㎡,平层,暂无数据,塔楼,南,混合结构,精装,一梯两户,有,null,2023-04-20,商品房,2006-04-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202303051xhCN
37,菱湖上品,江汉,395,15447元/平米,6室2厅1厨2卫,高楼层 (共25层),255.72㎡,复式,207.68㎡,板塔结合,东南,钢混结构,简装,五梯二十户,有,null,2021-04-08,商品房,2009-11-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210411n1K5U
38,招商江湾国际,硚口,198,18822元/平米,3室2厅1厨2卫,中楼层 (共33层),105.2㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯五户,有,null,2023-03-28,商品房,2018-09-29,普通住宅,满两年,共有,"
                                有抵押 75万元
                              ",已上传房本照片,20210802N7DAJ
39,金榜名苑,武昌,219,27981元/平米,2室1厅1厨1卫,中楼层 (共27层),78.27㎡,平层,60.02㎡,板楼,南,钢混结构,精装,三梯八户,有,null,2023-03-07,商品房,2009-10-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230307ZI0n0
40,胭脂山桂苑小区,武昌,280,21091元/平米,4室2厅2厨2卫,高楼层 (共11层),132.76㎡,平层,110.02㎡,板楼,东 南,钢混结构,其他,三梯四户,有,null,2023-04-04,商品房,2014-04-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220814ZUX1F
41,友谊国际,武昌,350,27200元/平米,3室2厅1厨2卫,中楼层 (共19层),128.68㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯两户,有,null,2022-03-06,商品房,2019-12-16,普通住宅,满两年,非共有,"
                                有抵押 120万元 民生 客户偿还
                              ",已上传房本照片,20220306EvlOo
42,菁英城二期,洪山,126.9,15193元/平米,2室2厅1厨1卫,中楼层 (共31层),83.53㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,null,2023-04-06,商品房,2021-04-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220308wbJXk
43,丽华苑,洪山,117,13611元/平米,2室2厅1厨1卫,中楼层 (共18层),85.96㎡,平层,70㎡,板楼,东南,钢混结构,精装,两梯六户,有,null,2023-03-21,经济适用房,2014-02-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20221115hI1QQ
44,东亚富苑,江岸,174,13292元/平米,3室2厅1厨2卫,中楼层 (共8层),130.91㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,无,null,2023-04-08,房改房,2016-04-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230413uIqQs
45,金龙百灵景都,汉阳,141,14945元/平米,2室2厅1厨1卫,低楼层 (共18层),94.35㎡,平层,74.86㎡,板楼,南,钢混结构,精装,两梯三户,有,null,2022-08-15,商品房,2015-08-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20220815mZble
46,碧桂园凤凰湾,汉南,88,6793元/平米,4室2厅1厨2卫,低楼层 (共27层),129.55㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,暂无数据,null,2023-04-05,商品房,2021-04-02,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230405qUjAJ
47,惠馨苑,武昌,153,20430元/平米,2室2厅1厨1卫,高楼层 (共12层),74.89㎡,复式,61.28㎡,板楼,南 北,钢混结构,精装,一梯两户,有,null,2021-07-15,商品房,2015-11-10,普通住宅,满五年,非共有,"
                                有抵押 265万元 1 客户偿还
                              ",已上传房本照片,20200601LrNuj
48,当代国际城,东湖高新,165,19634元/平米,2室2厅1厨1卫,高楼层 (共31层),84.04㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯四户,有,null,2022-10-21,商品房,2020-08-21,普通住宅,满两年,非共有,"
                                有抵押 70万元 农村商业银行
                              ",已上传房本照片,20221021CJNSA
49,星海虹城,武昌,418,26498元/平米,4室2厅1厨2卫,低楼层 (共18层),157.75㎡,平层,132.63㎡,板楼,北 南,钢混结构,精装,两梯三户,有,null,2023-04-13,商品房,2010-06-28,普通住宅,满五年,共有,"
                                有抵押 30万元 光大银行 业主自还
                              ",已上传房本照片,20220404KbmAo
50,蓝色天际,江汉,195,19491元/平米,3室2厅1厨2卫,中楼层 (共8层),100.05㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,null,2023-04-12,商品房,2017-10-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230412fDxnq
51,绿色家园,江汉,145,13591元/平米,3室1厅1厨2卫,中楼层 (共6层),106.69㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,null,2023-03-01,商品房,2007-03-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220302tIMlE
52,东亭花园,武昌,220,14554元/平米,3室2厅1厨2卫,高楼层 (共8层),151.17㎡,平层,暂无数据,板塔结合,南 北,混合结构,其他,一梯两户,无,null,2022-05-31,商品房,2001-03-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220609Gdjb7
53,海山友谊城,江汉,185,19285元/平米,2室1厅1厨1卫,高楼层 (共30层),95.93㎡,平层,85㎡,板楼,东南,钢混结构,其他,三梯八户,有,null,2023-02-27,商品房,2017-02-28,普通住宅,满五年,共有,"
                                有抵押 150 业主自还
                              ",已上传房本照片,20230228lqxtj
54,祥鑫天骄城,蔡甸,94.5,6328元/平米,3室2厅1厨2卫,低楼层 (共11层),149.35㎡,平层,122.91㎡,板楼,南 北,钢混结构,毛坯,十四梯三户,有,null,2023-04-10,商品房,2012-11-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230411mvADN
55,谷尚居,东湖高新,218,16926元/平米,3室1厅1厨2卫,高楼层 (共16层),128.8㎡,平层,99.93㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,null,2023-03-31,商品房,2020-12-17,普通住宅,满两年,共有,"
                                有抵押 150万元
                              ",已上传房本照片,20230331IgPS5
56,爱佳798,沌口开发区,109,12659元/平米,2室2厅1厨1卫,高楼层 (共31层),86.11㎡,平层,暂无数据,塔楼,东南 南,钢混结构,精装,两梯四户,有,null,2023-01-30,商品房,2019-08-31,普通住宅,满两年,共有,"
                                有抵押 34万元 中国银行商业贷款 客户偿还
                              ",已上传房本照片,20200629EUICT
57,楚天都市雅园,武昌,360,31014元/平米,3室1厅1厨2卫,中楼层 (共45层),116.08㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,三梯四户,有,null,2023-03-27,商品房,2020-01-27,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,20230327LCNhQ
58,福星城南区,江汉,248,19503元/平米,3室2厅1厨2卫,低楼层 (共32层),127.16㎡,平层,95.63㎡,板楼,南 北,钢混结构,其他,两梯四户,有,null,2022-10-30,商品房,2015-03-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,2020041862eRT
59,梅花苑,武昌,102,9803元/平米,3室1厅1厨1卫,高楼层 (共7层),104.05㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,无,null,2023-04-18,房改房,2020-04-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20201030PVkZ6
60,汉口新城二期,江岸,78,12484元/平米,2室1厅1厨1卫,低楼层 (共11层),62.48㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,null,2021-04-29,商品房,2019-05-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210503uHnni
61,龙江庭苑B区,汉阳,99,12494元/平米,2室1厅1厨1卫,低楼层 (共18层),79.24㎡,平层,66.07㎡,板楼,南,钢混结构,简装,两梯五户,有,null,2023-04-27,拆迁还建房,2021-04-29,普通住宅,满两年,非共有,"
                                有抵押 81万元 建设银行 客户偿还
                              ",已上传房本照片,202304274kgeT
62,鑫城宜居,东西湖,75,10894元/平米,2室2厅1厨1卫,中楼层 (共33层),68.85㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯五户,有,null,2022-08-18,商品房,2019-08-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220818dDXkc
63,华苑社区,江汉,85,12355元/平米,2室1厅1厨1卫,中楼层 (共8层),68.8㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,一梯四户,无,null,2023-04-01,商品房,2009-10-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230401yJGQm
64,百步亭花园世博园,江岸,170,19532元/平米,2室2厅1厨1卫,中楼层 (共8层),87.04㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,有,null,2023-04-07,商品房,2019-01-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230407WfxgC
65,金地中心城,东湖高新,316,20223元/平米,4室2厅1厨2卫,中楼层 (共32层),156.26㎡,平层,126.97㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,null,2023-04-17,商品房,2016-06-11,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,20201231t23io 
66,天源城,武昌,325,23500元/平米,3室2厅1厨2卫,中楼层 (共12层),138.3㎡,平层,119.34㎡,板楼,南 北,钢混结构,其他,一梯两户,有,null,2023-04-12,商品房,2009-02-16,普通住宅,满五年,非共有,"
                                有抵押 20万元 民生银行 业主自还
                              ",已上传房本照片,202304146smhQ
67,常青二垸,江汉,89,9907元/平米,3室2厅1厨1卫,高楼层 (共8层),89.84㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,null,2023-03-17,商品房,2008-05-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202303239it7J
68,天泽一方,硚口,142,11460元/平米,3室2厅1厨2卫,低楼层 (共17层),123.91㎡,平层,101.32㎡,塔楼,东 东南 南,钢混结构,其他,两梯四户,有,null,2022-10-18,商品房,2009-04-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20221019na83L
69,福星惠誉东湖城二期,洪山,225,19816元/平米,3室2厅1厨2卫,低楼层 (共31层),113.55㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,null,2023-04-27,商品房,2019-04-20,普通住宅,满两年,共有,"
                                有抵押 84万元 客户偿还
                              ",已上传房本照片,20200915nMJOt
70,积益小区,江汉,65,14097元/平米,1室1厅1厨1卫,高楼层 (共8层),46.11㎡,平层,暂无数据,塔楼,西,钢混结构,其他,一梯二十一户,有,商水,商电,2.53元/m3,2023-04-28,私产,2006-09-25,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20200103hnqE4
71,东亭花园,武昌,173,17038元/平米,3室1厅1厨1卫,中楼层 (共7层),101.54㎡,平层,88.63㎡,板塔结合,南,钢混结构,简装,一梯两户,无,null,2021-10-18,私产,2013-11-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210324wQTSZ
72,天顺园六村,硚口,195,8618元/平米,4室3厅1厨3卫,高楼层 (共7层),226.28㎡,复式,暂无数据,板楼,东南 南,钢混结构,其他,一梯两户,无,null,2021-03-21,商品房,2016-10-17,普通住宅,满五年,非共有,"
                                有抵押 115万元 光大银行 客户偿还
                              ",已上传房本照片,20210319xMXjG
73,丽水新城,蔡甸,79.2,7635元/平米,3室2厅1厨2卫,低楼层 (共7层),103.74㎡,平层,93.23㎡,板楼,南 北,混合结构,精装,一梯两户,暂无数据,null,2021-07-14,商品房,2021-04-10,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,202107292ga5A	
74,福星华府誉境,江汉,185,20166元/平米,3室2厅1厨1卫,低楼层 (共44层),91.74㎡,平层,暂无数据,板楼,南 西南,钢混结构,精装,三梯四户,有,null,2023-04-20,商品房,2021-03-09,普通住宅,满两年,非共有,"
                                有抵押 30万元 邮政银行 客户偿还
                              ",已上传房本照片,20230424EdvVX
75,中环新天地,硚口,45.8,10118元/平米,1室1厅1厨1卫,高楼层 (共28层),45.27㎡,平层,暂无数据,塔楼,北,钢混结构,简装,四梯二十四户,有,null,2021-09-28,商品房,2020-09-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20200802VXXKa
76,祥和雅居,东湖高新,52.8,10822元/平米,1室1厅1厨1卫,低楼层 (共32层),48.79㎡,平层,37.22㎡,板塔结合,东,砖混结构,简装,四梯三十三户,有,null,2023-04-04,拆迁还建房,2023-03-31,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230404desyw
77,晋合金桥世家,江岸,560,24881元/平米,5室2厅1厨2卫,高楼层 (共32层),225.08㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,null,2021-11-25,商品房,2019-04-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210522pApAw
78,城南新居,洪山,160,14674元/平米,3室2厅1厨2卫,中楼层 (共6层),109.04㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,暂无数据,null,2023-03-28,商品房,2006-04-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230408tJ7uv
79,保利公园九里,洪山,190,17021元/平米,3室2厅1厨2卫,低楼层 (共34层),111.63㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,null,2022-01-01,商品房,2016-01-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20220101htoAW
80,中建御景星城,硚口,228,20651元/平米,3室2厅1厨1卫,低楼层 (共47层),110.41㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,三梯三户,有,null,2023-02-22,商品房,2018-02-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220611ZS7JT
81,爱家皇家公馆,洪山,100,16941元/平米,1室1厅1厨1卫,高楼层 (共24层),59.03㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯十四户,有,null,2021-09-02,商品房,2017-11-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20200729TLr0x
82,湘龙鑫城,洪山,115,9222元/平米,3室2厅1厨2卫,高楼层 (共24层),124.71㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,null,2020-01-03,商品房,2020-01-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20200103EXL0J
83,都市花园上园,江汉,265,21647元/平米,3室2厅1厨2卫,低楼层 (共32层),122.42㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,null,2023-04-21,商品房,2018-07-24,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,201809162334N
84,碧桂园学府壹号,蔡甸,88.5,8443元/平米,3室2厅1厨1卫,低楼层 (共33层),104.83㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,null,2021-11-08,商品房,2019-12-25,普通住宅,满两年,共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,20211109FngnU
85,大华南湖公园世家二期,洪山,225.8,23443元/平米,3室1厅1厨1卫,中楼层 (共18层),96.32㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,null,2022-12-17,商品房,2019-04-17,普通住宅,满两年,非共有,"
                                有抵押 113万元 平安银行 客户偿还
                              ",已上传房本照片,20221217s0lBs
86,水岸国际峯岚天下,武昌,313,23972元/平米,3室2厅1厨2卫,高楼层 (共31层),130.57㎡,平层,101.38㎡,板楼,南,钢混结构,精装,两梯四户,有,null,2023-03-15,商品房,2015-09-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230315xFF4R
87,融创融公馆,江岸,235,19658元/平米,4室1厅1厨2卫,低楼层 (共34层),119.55㎡,平层,92.79㎡,板楼,东南,钢混结构,简装,两梯四户,有,null,2023-04-27,商品房,2019-11-08,普通住宅,满两年,共有,"
                                有抵押 100万元 民生银行 业主自还
                              ",已上传房本照片,20230427uykCq
88,金地华公馆,东湖高新,93,20946元/平米,1室0厅1厨1卫,中楼层 (共18层),44.4㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,六梯三十三户,有,null,2021-08-05,商品房,2021-08-05,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210820NZnt9
89,先贤苑,武昌,225,20333元/平米,3室2厅1厨2卫,中楼层 (共6层),110.66㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,null,2023-04-09,商品房,2017-09-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230424PlFP7
